sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-tensor-vector-R-2,logZ-err-tensor-vector-R-2
0,966384130.7140256,4.566311836000001,-1.34117198,6.308629407000001,2.7203085189999996,16.737840833,18.092932299222568,78,-5.1466481691435355,0.013087541246015364,-4.839199805906518,0.009878622711196643
1,966384876.1370648,0.5138322710000001,0.275454491,17.336139920999997,12.188335297,17.412089971,27.427689327225227,84,-7.083369868728658,0.018241010753854533,-6.663943295700639,0.01883650934897193
2,966385695.0861443,2.9753379819999997,0.2969096,44.01534135399999,22.94360961,2.8627619419999997,49.71875805349315,98,-7.439785241979529,0.02022971870352471,-6.795275853360785,0.03667151006620307
3,966386622.0088493,4.524222851,0.46986758700000003,19.099788006,9.64042788,10.121585782,23.66825406163301,85,-7.082935438460596,0.0198341303938286,-6.783713038866226,0.019502434461020228
4,966387376.3090851,2.115628004,0.8671010729999999,22.652201699000003,7.308784675,14.361640167000001,27.799231707442587,84,-7.385707992997046,0.028847894355346113,-7.768175672992655,0.033742451245245525
5,966388392.1611309,0.816278517,1.0722539420000001,122.80928264200001,68.509580486,33.787632535,144.6280976633882,96,-13.628223461962712,0.28095779447908603,-11.297325335674422,0.1185746759208509
6,966389149.6836656,5.126654148,1.3677810430000001,6.320489951,4.2751057260000005,9.413660846,12.117843566933987,50,-6.626818701394479,0.011565848792775828,-6.361783180487536,0.010483561359246775
7,966390054.0539733,0.269400686,0.622580528,17.954297615999998,16.316380045,15.225815544000001,28.642739387787085,86,-8.137382302637043,0.03947670247350146,-8.166115989366055,0.030428028833348886
8,966390815.2299151,2.036648989,-0.331694186,14.188321909,8.304833192,14.706434904000002,22.05805885670686,75,-6.755818955392149,0.025542292477820677,-6.527223425046625,0.022710978374547244
9,966391727.9693226,2.344242096,0.890730798,24.61181917,11.832789565999999,19.218439173,33.39318726950631,89,-8.542256280244375,0.050707894210565416,-7.265683400709267,0.03065284914724547
10,966392440.273938,6.26701498,-0.461208999,32.830027146999996,20.952434163,5.916552332999999,39.393156402308435,98,-9.46478267248984,0.041921155184125626,-8.02809341160024,0.02395041889462322
11,966393363.9065711,3.93466711,0.544756711,15.633966496,4.608717311,13.302824017,21.038686044476105,69,-5.9761470864408475,0.01715717256704682,-6.346623031960625,0.019849587960175493
12,966394162.6198736,2.831732988,-0.501958013,17.929959729,10.155883455,16.420265262,26.348634422101433,90,-7.532301071383913,0.02604617607033097,-6.6031622074578555,0.02460593139040922
13,966395074.504896,5.884624958,-0.081114583,34.353152913,29.686912401,23.73828636,51.23434514344817,95,-11.784130323504199,0.1884456595630319,-9.706723434054236,0.06026022640298291
14,966395875.5055504,0.764776111,-0.866135478,32.5048746,28.241020996,1.150764554,43.07489290430077,100,-7.083949555763017,0.022587932661347034,-7.617461683014396,0.021641896526029887
15,966396701.0882093,2.0953619480000003,0.776272774,20.7111006,19.159608758,3.26846796,28.402872717887135,92,-7.5914098789069975,0.018018812763655603,-7.807179529105233,0.018553719741474742
16,966397582.8099912,3.67781496,-0.93659091,22.32844405,16.621698426,14.695029734,31.476724275915615,97,-8.06492011894351,0.03013786678485256,-8.109571480790741,0.02112727153123797
17,966398307.3417128,4.155073166,-0.853335381,18.036012839,15.17754945,16.621157275999998,28.842999768215787,91,-6.9138783248505495,0.03403600909480587,-7.051498196191053,0.017330928598945014
18,966399127.8480319,3.276175022,-0.127407894,30.55485672,22.263281169000003,28.339953759,47.24834321594714,93,-12.187633137154998,0.23704545559625778,-7.681754483473462,0.033159698336900606
