sim-id,trigtime,ra,dec,H1-snr,L1-snr,V1-snr,snr,npix,logZ-tensor-N-0,logZ-err-tensor-N-0,logZ-tensor-scalar-R-1,logZ-err-tensor-scalar-R-1,searched-prob-tensor,area-50-tensor,area-90-tensor,ra-cdf-tensor,dec-cdf-tensor
0,966384130.7140256,4.566311836000001,-1.34117198,10.401680461,7.830675611,11.386343154,17.296336240895123,79,-6.002169224971098,0.019937269762072288,-5.783763271431736,0.017314094948703458,0.42606273671956874,1194.6595108575023,3364.163580678594,0.4793760831889081,0.030155979202772965
1,966384876.1370648,0.5138322710000001,0.275454491,10.80903645,12.705830270999998,16.925464565,23.76435866153259,91,-7.103870403253007,0.0309572800152137,-7.114373907205939,0.017630504309608885,0.6970318768713252,480.546916374182,1390.535620904391,0.1936197094125079,0.5195830701200252
2,966385695.0861443,2.9753379819999997,0.2969096,20.053865261,7.7174670260000005,8.942665167000001,23.274193208204125,82,-6.867257201405459,0.020205157069758135,-7.131626813639764,0.024960600204905953,0.0678639114467471,619.2928646729027,1993.3719288244556,0.5154773541870316,0.555881394591072
3,966386622.0088493,4.524222851,0.46986758700000003,9.337134613,11.246170307,7.2516091110000005,16.316993107005633,79,-6.6819614169091075,0.01717605072171693,-6.692759349031242,0.025910231875176267,0.19996749974487765,748.7212374619937,2414.6021774224596,0.7653495440729483,0.786322188449848
4,966387376.3090851,2.115628004,0.8671010729999999,11.27948049,8.319956664,9.109163092000001,16.716016608384418,76,-6.971852024859536,0.02030775278398357,-6.155592024795431,0.023959452375148387,0.08991839546095179,448.0004381562245,1586.1514521223448,0.3175296319401123,0.8699313786650031
5,966388392.1611309,0.816278517,1.0722539420000001,6.545704977000001,5.213545423999999,18.30426697,20.126437808093783,74,-6.303793664566045,0.01870734192046783,-6.163532422513367,0.01664757821967071,0.08490935865650409,896.6752242737822,2673.183615304871,0.1100196463654224,0.8781925343811395
6,966389149.6836656,5.126654148,1.3677810430000001,11.440761159000001,10.636683402000001,5.835440502999999,16.675803295665197,71,-6.922732532787637,0.02771778387769299,-7.839828649890622,0.017523614655469994,0.8837264038201741,459.1919746549168,2217.260590083018,0.855543710021322,0.9920042643923241
7,966390054.0539733,0.269400686,0.622580528,3.53960479,6.59888285,19.178895184,20.588930943987197,75,-6.187477726222634,0.016081522928318385,-6.026181422303924,0.01532834942999837,0.5498345373354068,1280.58356055227,5790.65247560381,0.0803840877914952,0.7174211248285323
8,966390815.2299151,2.036648989,-0.331694186,8.546341226000001,13.137515506,8.792306927,17.970501471027173,51,-6.20627359635327,0.022021498574122257,-6.628007370090624,0.021579742614613692,0.3490405533801981,806.7423537152599,2772.7279180414102,0.6794717887154862,0.17106842737094838
9,966391727.9693226,2.344242096,0.890730798,12.927244325999999,10.519212739,10.861277204,19.893084854153948,73,-7.382827934929384,0.036577305094914456,-6.725227530763823,0.02445556862496632,0.7067873652959838,150.3229750516937,362.45059403419765,0.5013035381750466,0.6968342644320298
